school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered,grade_A,grade_O
WEST VIEW PRIMARY SCHOOL,http://www.westviewpri.moe.edu.sg,31 SENJA ROAD,677742,67600178,na,67600147,na,wvps@moe.edu.sg,CCK MRT_ SENJA LRT (A13),170_171_176_178_180,MR FOO CHIT CHEONG EDDIE,MR QUEK SWEE NEE,MDM LAI SEOW POH,MISS PATRICIA CHONG HUAY LENG,na,na,na,Passionate Learners_ Confident Leaders,A vibrant school where we strive to do our best,School Philosophy Every West Viewan_ A Talented Pupil  School Motto Aim High  Values I-CARE Integrity to uphold   Commitment to learning  Aspiration to achieve Responsibility_ our personal growth Excellence_ our pursuit,BUKIT PANJANG,WEST,WEST 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,STRIVE@WVPS is a signature programme designed for our primary 3 to 6 pupils. It is a school-based modular CCA programme for P3 to P6. It aims to make schooling an exciting and enjoyable experience for pupils. It focuses on real-life experimental learning to develop pupils' character and values. It serves to broaden pupils' learning in authentic settings that can further challenge them to grow and develop. As pupils enjoy learning_ they will be motivated and poised to strive for excellence cognitively_ aesthetically_ physically and socio-emotionally.   The Da Vinci Programme is specially customised for high-achieving learners from P3 to P6 classes. Its main objectives are to develop pupils' intellectual depth and promote higher-order thinking skills. The school sees the importance of developing programmes that cater to the individual needs and abilities of pupils. These pupils who have the potential and ability must be maximised to stretch and achieve their highest level.  As such_ these pupils are given an enriched curriculum that is pitched to challenge and stretch them. This enriched curriculum is built on the regular curriculum.  In this school_ we believe that every child has potential and is an agent of change; every West Viewan is a Leader. Hence_ we sensitise our pupils as caring individuals to the developments taking place around them and educate them for the future through The Leader In Me programme. Content from The 7 Habits of Highly Effective People forms that key component of the overall student learning and development process in the school. It reminds our pupils to embrace personal responsibility to become good in their endeavour. It requires them to understand the importance of learning and gaining knowledge for personal growth_ having a growth mindset and commitment to learning. They take pride in who they are and what they can achieve on their own and with others.,-1,-1
WESTWOOD PRIMARY SCHOOL,http://www.westwoodpri.moe.edu.sg,1 JURONG WEST STREET 73,649188,64121690,na,67945084,na,westwood_ps@moe.edu.sg,Boon Lay MRT Station,181_ 502 & 243,MR NG YEOW LING,MS TRACY TAN I- LIAN,MRS RUTH TAI MEI FEN,MR CHIN HONG FAI HUMPHREY,na,na,na,A positive institution in Jurong West that inspires the community to lead meaningful and engaged lives,To provide positive education that nurtures thriving teachers and flourishing pupils,Westwood Primary was founded in 2013_ premised on the core philosophy of Positive Education.  Our overarching goal is for our staff and pupils to strive for both excellence and wellbeing_ and for our school community to thrive and flourish.  Learning is delivered with positive engagement so as to invite every pupil on a journey of discovery and holistic development.  Discipline is promoted in a respectful way to engender self-reflection and growth.  By emphasising positive motivation and affirmative attitudes_ we nurture an awareness of greatness and potential in each and every staff and pupil_ as they set personalised goals and ultimately demonstrate creative expression_ problem-solving_ and meaningful achievement.    In keeping with the philosophy of Positive Education_ Westwood Primary's Staff Belief is that Every One is a Talented and Unique Individual with Potential for Success. Our Westwood School Culture is one of care_ love and drive_ and we aspire in going the extra mile in everything we do.  To enable all staff and pupils to believe that he or she can be an agent of change_ with opportunities to use his or her talents and skills to benefit others_ our positive school culture is grounded in our core values of A Heart of Gratitude_ A Resilient Mindset_ A Passion for Community and A Future-Ready Confidence.  A THRIVE Framework for Positive Education has been developed to ensure that school policies_ practices and programmes are aligned to the six key domains of positive accomplishment (Thinking mindfully); positive health (Healthy coping); positive relationship (Relating well); positive engagement (In the moment); positive meaning (Values-driven actions); and positive emotions (Emotions of positivity).  To this end_ we actively partner parents and the wider community_ seeking opportunities to contribute to community life_ while living out the message of positivity_ hope and well-being.,JURONG WEST,WEST,WEST 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,na,Aligned with positive education_ our student development programmes serve to develop our pupils' resilience and  promote an understanding of his or her own strengths.  We also focus on optimism and on the importance of doing social good.  Accordingly_ our signature school programmes are as follows:   Applied Learning Programme (Positive Design & Innovation):  With inter-disciplinary project work as a platform_ pupils learn about the principles of positive design and thinking protocols_ and explore how their ideas and observations can be turned into useful designs and solutions that benefit their peers and their community.   Learning for Life Programme (Student Leadership & Community Service): Throughout their time in Westwood Primary_ every child is given an opportunity for leadership_ and comprehensive training and mentoring is provided to support each child is their leadership journey. Westwoodians are also given many opportunities to give back to their community via class-wide and level-wide programmes.   Holistic Learning_ Assessment and Reporting: Westwood Primary has adopted a whole-school approach towards holistic assessment_ aligning PERI-HA practices with its founding philosophy of Positive Education. Formative Assessment (FA) practices are adopted in all classrooms_ so as to promote learner engagement and ensure every child has a voice. Positive questioning and process praise help children to focus on the process of learning.  Westwood Primary also engages parents in Holistic Assessment_ via the annual Teacher-Parent-Pupil Conference_ where pupils share what and how they have learnt with their parents_ prompting authentic discussions that involve each child in personalised learning.   Programme for Active Learning (PAL) for Lower Primary Pupils:  Our PAL Framework is guided by VIP principles_ with the programme being Values-Driven_ Incorporating Innovative Learning and being Positive-Education-focused.,-1,-1
WESTWOOD SECONDARY SCHOOL,http://www.westwoodsec.moe.edu.sg,11 JURONG WEST STREET 25,648350,67929737,na,67929738,na,WESTWOOD_SS@MOE.EDU.SG,BOON LAY MRT,172_ 181_ 185_ 199_ 974,MR ABDUL HARRIS B SUMARDI,MISS TAN MING MING,MR KONG CHEE CHIEW,na,na,na,na,Rooted in Character & Skills to Soar for the Nation.,Nurturing Westwoodians to be anchored in sound values_ to have the necessary knowledge and skills to face the challenges of the future_ and to be driven by the desire to make a difference.,In Westwood_ we believe that all students are unique individuals with different talents and abilities_ who can learn and grow_ and eventually_ make a difference to society. As such_ the school has the responsibility to develop each student holistically and to his best ability. This will be done through the provision of equal access to developmental opportunities_ and_ regardless of level or stream_ talents and interests_ all students will be ensured of a strong foundation in the knowledge_ skills and competencies required for success in life in the 21st Century. Even more importantly_ all students will be imbued with strong moral values and a sense of social responsibility_ so that they may continue to serve and contribute to their community even after they leave Westwood.,JURONG WEST,WEST,WEST 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"Westwood offers two distinctive programmes. Through our Applied Learning Programme on Innovation and Social Entrepreneurship (ISE)_ students will develop specialised knowledge of innovation and entrepreneurship that will enable them to make effective contributions to the community. The ISE curriculum is integrated in both the Academic and Co-Curriculum so that students are able to make connections and apply the knowledge and skills learnt in different contexts. In addition_ students will be engaged in ""Arts for Life!""_ our Learning for Life Programme where they are exposed to Visual Arts and Design_ Music and Performing Arts.  Both distinctive programmes will provide extensive platforms for our students to ideate_ experiment and explore as well as hone their 21st century skills and competencies where they will have opportunities to apply these skills in authentic contexts. Westwood also offers a Talent Development Programme (TDP) for students who are stronger in their academic studies. These students will be provided with ample opportunities to hone their communication & presentation skills_ as well as stimulate their intellectual curiosity and develop greater awareness of international issues and their impact through participation in conferences/seminars/forums/projects and build a personal portfolio in the process.",-1,196
WHITE SANDS PRIMARY SCHOOL,http://www.whitesandspri.moe.edu.sg,2 PASIR RIS ST 11,519075,69229100,na,65815013,na,wsps@moe.edu.sg,Pasir Ris MRT Station,12_ 17_ 21_ 39_ 53_ 81_ 518_ 109,MDM WONG LIN LIN AUDREY,MR SHOEB BURHANUDDIN,MISS SOH BEE LING,na,na,na,na,A vibrant school of choice where character shines and talents soar.,To nurture caring hearts_ creative minds and confident individuals.,White Sands Primary School believes in developing to the fullest the character and cognitive domains of our pupils. We endeavor to nurture future ready citizens who are grounded in the values of Care_ Respect_ Responsibility_ Resilience_ Rallying Together and Excellence. For children to have their unique talents and abilities developed to their fullest potential_ a rich learning experience is provided to develop caring hearts_ creative minds and confident individuals.   Contributing towards the school's holistic development of our pupils is the strong partnership with our parents and the community as we believe that it takes a village to raise a child. The school enjoys a good reputation in the community for the quality of all-round education it provides_ distinctive for the good discipline and vibrant tone. This is affirmed through the need for the school to conduct balloting in the annual P1 registration exercise.   Key success factors which contribute to the positive learning outcomes of the pupils include customization of teaching and learning approaches that cater to pupils of different abilities. This customized approach allows for every pupil to learn at a suitable pace_ starting from the foundation years. The strong learning support that has been put in place ensures that no child is left behind in the pursuit of excellence.   The school believes in building strong Teacher-Student relationship. This is made possible through the strong Character and Citizenship Education_ which includes signature programmes such as heart-to-heart sessions between staff and pupils. All teachers_ key personnel_ school leaders are involved not only in the heart-to-heart sessions but in 'adopting' pupils so that they can feel belong and cared for in the school.,PASIR RIS,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,The annual HeArts Shine programme is a key highlight in the school calendar. It showcases pupils' talents and their participation in values-in-action. Pupils also demonstrate their creativity by planning and making interesting games that made use of re-cycled materials. All monies raised through the HeArts Shine programme are channeled towards the needs of needy pupils.   The school Applied Learning Programme (ALP in Digital Media) is a key feature that contributes to the vibrant environment_ especially in Art and Music. Other than the aesthetics_ pupils are exposed to processes such as story-boarding and working in teams as budding journalists. Other than the ALP in Digital Media_ the school is well-known for its outstanding performance in the CCA in performing arts and key sports.  Our pupils are also exposed to various form of outdoor education from Primary 3 onwards. These grade-specific programmes include day & stay-in camps and kayaking which aim to develop ruggedness and resilience in pupils.   All pupils in the Upper Primary levels participate in Transdisciplinary Project Work to develop 21 Century Competencies and life-long skills - values that are imbued through level specific Values-In-Action activities. Selected upper primary pupils participate in the Global Outreach Programme_ which provides them with the authentic learning experience to learn and appreciate foreign cultures whilst deepening their sense of rootedness to Singapore.,-1,-1
WHITLEY SECONDARY SCHOOL,http://www.whitleysec.moe.edu.sg,30 BISHAN STREET 24,579747,64561336,na,64591330,na,WHITLEY_SS@MOE.EDU.SG,BISHAN MRT_ MARYMOUNT MRT,13_ 52_ 54_ 74_ 74E_ 88_ 162_ 162M_  588_ 410_ 851_ 852,MDM S SAROJA,MR TYEBALLY AZIZ,MR KANG LENG KHIM VINCENT,na,na,na,na,A Caring and Learning Community,To nurture Whitleyans to their fullest potential_ so that they are able and willing to contribute to society,Whitley Secondary School believes that education is a journey of self-discovery and hence we seek to provide a holistic education with opportunities for students to discover and develop their strengths_ interests and talents. In building a learning community_ we develop Whitleyans to be self-directed learners and confident persons_ grounded in the pursuit of Knowledge and values of Responsibility and Discipline. In role-modelling the values of Respect_ Integrity and Sportsmanship_ we nurture active contributors and concerned citizens who serve and care for their family_ school and community. They are rooted to the nation_ yet global in perspectives.,BISHAN,SOUTH,SOUTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,We are committed to creating the Whitley Experience in building a strong foundation for academic success and developing students' interests and strengths through our total curriculum. The school's Learning for Life Programme_ Active Citizenship for Social Change (ACSC)_ seeks to nurture active concerned citizens. Focused on building empathy and ownership of societal issues_ ACSC provides opportunities for every Whitleyan to hone his skills in Design Thinking Protocol to empathise and better understand the needs of the community_ ideate and co-construct solutions_ as well as to advocate for social causes. The school's Applied Learning Programme_ Speech Communication Arts_ nurtures students to be confident and self-directed learners with a curriculum that enhances communication skills through speech and art forms such as public speaking_ drama and current affairs presentation. To spark interest and support students' decision to pursue further studies in Science_ Technology_ Engineering and Mathematics (STEM)_ the school has a robust STEM enrichment programme_ which includes learning computational thinking through coding programme_ learning about the genetic engineering process through our Amgen Biotechnology Experience_ and experiencing STEM courses and career guidance through STEM Elective Modules and Advanced Elective Modules. To stretch students' potential_ we have a Talent Development Programme to nurture students' academic strengths and non-academic talents_ providing training opportunities such as Author-in-Residence_ debating and Olympiad training_ and challenging students to excel through participation in competitions and research projects. Another key element of our school's holistic programmes is our focus on leadership development and building of qualities such as resilience_ team work_ empathy_ sound planning_ among others. This is done through our cohort camps_ student leadership programme and Overseas Service Learning_ to name a few.,-1,188
WOODGROVE SECONDARY SCHOOL,http://www.woodgrovesec.moe.edu.sg,3 WOODLANDS AVENUE 6,738990,68932564,na,68934458,na,woodgrove_ss@moe.edu.sg,WOODLANDS MRT,900_ 901,MR CHEE CHIT YENG,MR TAN BOON CHENG,MISS FOO SIEW YONG,MR HEE JUAY AY,na,na,na,A School of Choice. A Community of Dynamic Learners.,At Woodgrove... We will Shape Character_ Ignite Passion_ Promote Innovation to prepare citizens of the future.,At the heart of WGS Education is the intent for students to have a wide range of learning opportunities in the cognitive_ aesthetics and physical domains so as to realise their talents and broaden their interests. Students are developed to be logical and analytical thinkers as well as creative_ imaginative and artistic individuals. The school's strengths in design_ environmental education and the performing arts_ provide students with a strong foundation to pursue their individual pathways. A spirit of innovation and entrepreneurship is fostered within the school and students are taught to value teamwork_ question assumptions and to respect differing views. The school also strives to engage the hearts of its students_ developing in them a passion to serve. Partnerships are forged to connect students to the local community so as to nurture civic responsibility. Internships with external organisations prepare and equip students to deal with future challenges with confidence and determination.,WOODLANDS,NORTH,NORTH 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,The school has two distinctive programmes to provide holistic development of students: Learning for Life Programme (LLP) - 'Community Youth Leadership' and Applied Learning Programme (ALP) - 'Material Science for Sustainable Living'. The 'Community Youth Leadership' programme aims to develop student leaders to attain the 3A qualities of Awareness_ Affection and Ability to Act while the 'Material Science for Sustainable Living' programme aims to leverage on the school's strengths on Environmental Education and Design Education_ to nurture students to be self-directed and become dynamic learners with a keen interest in STEM-related domains such as materials science.  The school also offers the following programmes and learning experiences: Autodesk Inventor Programme_  Elective Modules and Advanced Elective Modules [AEM] in collaboration with Polytechnics_ Environmental Education [EE]_ Experiential Learning_ Overseas Learning Experience and Student Work Attachment.,-1,210
WOODLANDS RING PRIMARY SCHOOL,HTTP://www.woodlandsringpri.moe.edu.sg,11 WOODLANDS RING ROAD,738240,63643679,na,63643490,na,WRPS@MOE.EDU.SG,Admiralty MRT Station,912,MISS GEETHA D/O DORAISAMY,MR BOH CHEK KEOW_ THOMAS,MR CHNG SIEW CHYE,na,na,na,na,Passionate Learners_ Gracious Citizens,Nurture pupils to be life-long learners and effective members of society,"To cater a holistic_ pupil-centric and values-driven education for the pupils_ the school plans and implements programmes that address the cognitive_ aesthetic_ moral_ physical and social (CAMPS) needs of our pupils.  To provide and sustain quality learning experiences in Woodlands Ring Primary school_  the school considered the needs and experiences of the pupils and drew its own Teaching and Learning Framework that places emphasis on the following: - Customisation : Varied instructional models and strategies are deployed to maximise pupils' learning and ensure that every pupil learns effectively  - Connection - Learning content are linked to previous experiences or authentic contexts and included 21st century skills where appropriate  - Celebration - Pupils experience success in learning tasks that are challenging and accomplishable  Amongst all these_ the school's philosophy_ ""Every child is unique and able to excel"" resides in all staff_ leading the staff in their actions and dealings with the pupils.",WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,"At Woodlands Ring Primary School (WRP)_ we seek to be pupil-centric in our approach and strive to meet the diverse needs of our pupils.   Project Work@WRP is a Science value-driven programme. It offers a multidisciplinary_ tiered and structured programme offered to all pupils from Primary 1 to Primary 6. Through this_ pupils generate knowledge from their hands-on experiments_ connect their learning with nature. Most importantly_ they will learn and exercise school values of Integrity_ Care_ Respect_ Resilience and Responsibilities_ or ICaRe3@WRP.  WRP makes every effort to provide learning opportunities for all pupils to be future ready global citizens_ aligning to our vision of ""Passionate Learners_ Gracious Citizens""_ The school organises overseas learning journeys to provide opportunities for pupils to better appreciate different cultures through authentic learning experiences with their counterparts from neighbouring countries.   It is WRP's belief that every child is unique and able to excel. The school embraces the educational initiatives like the Programme for Active Learning (PAL). PAL aims to provide Primary 1 and 2 pupils with broad exposure and experiences through fun and varied activities via modules of Sports_ Games and Outdoor Education_ Performing Arts_ Drama and Visual Arts. The school extends it to include a Sport and Aesthetics (SpA) Week for all pupils. The school also has programmes such as School-based Dyslexia Remediation (SDR)_ Reading Remediation Programme (RRP) and ICAN Math to provide support for the low-readiness pupils.  WRP believes that the pursuit of excellence must be accompanied by the development of good character. Through the planned programmes like form teacher guidance period (FTGP)_ cyberwellness education or Character & Citizenship education in MT language_ pupils learn about values. They then are given opportunities to ""practise"" these values through platforms like PAL lessons and Values-In-Action.",-1,-1
WOODLANDS SECONDARY SCHOOL,http://www.woodlandssec.moe.edu.sg,11 MARSILING ROAD,739111,68494400,na,62691774,na,wdl_ss@moe.edu.sg,MARSILING MRT_ WOODLANDS MRT,913_ 913E_ 178_ 856_ 903,MDM TAN YANG FERN,MDM MASAYU BINTE MAHMUD,MR CHEN BING HONG,na,na,na,na,Every Woodlander a Gift to Society.,Nurturing Enduring Hearts and Creative Minds Ready to Serve Society.,A School Distinction Award and Singapore Quality Class school_ the school is committed to achieving its mission_ Nurturing Enduring Hearts and Creative Minds Ready to Serve Society. Through the school motto 'Wisdom and Truth'_ the school seeks to imbue in each student the school values_ represented in the acronym GR2EAT_ which stands for: Growth_ Respect_ Resilience_ Empathy_ Appreciation and Trustworthiness. The school strongly believes that quality staff_ and strong partnerships with alumni_ parents_ community and educational partners are the foundation for organisational excellence. The students' many achievements in the Academics_ Sports_ Performing Arts and Uniformed Groups are a testament to the impact of our programmes and commitment in equipping them with the values_ skills and knowledge to excel even when students may or may not have the background or prerequisites. The school's best practices on Teaching & Learning_ Student-all-round Development_ Character & Citizenship education and Staff Well-being & Development signifies that the school is committed in grooming our students to be confident and ready for the ever changing economic and social landscape.,WOODLANDS,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,"The school runs two distinctive school programmes in the Applied Learning Programme entitled ""Real Food_ Real Science"" and the Learning for Life Programme entitled ""Glocal Citizenship Programme"".   The Real Food_ Real Science_ STEM Applied Programme helps to develop critical thinking and inventive problem solving skills_ engaging and enriching Woodlanders to prepare them for the future.  In Sec 1_ students focus on molecular gastronomy techniques and practice Design Thinking to create innovative_ attractive and healthier mocktails. They will have the opportunity to visit industry partners to experience first-hand industry-standard Food Science. In Secondary 2_ students focus on drones and technology. They are introduced to basic computational logic and programming and apply these skills to fly visually engaging drones using iPads. Students who have gained deeper interest and aptitude would also have platforms to put the skills and techniques learnt into practice through job-shadowing opportunities and competitions.  The Glocal Citizenship Programme provides training in social innovation and entrepreneurship at lower secondary level with local Values-in-Action as the context for application. It culminates in Secondary 3 when our students apply the skills in the cohort overseas Values-in-Action expeditions to ASEAN countries. The programme aspires to prepare our students to be future contributors in the form of community youth leaders.   Like us on our Facebook page (https://www.facebook.com/woodlandssecondarysch) or follow our Instagram account @woodlandssec for up-to-date information on the learning experiences of our students.",-1,188
XINMIN SECONDARY SCHOOL,http://www.xinminsec.moe.edu.sg,11 HOUGANG AVENUE 8,538789,62889382,na,63851068,na,xinmin_ss@moe.edu.sg,HOUGANG MRT,25_ 55_ 70_ 72_ 73_ 74_ 88_ 101_ 103_ 112_ 132_ 147_ 156_ 159_ 161_ 165_ 315_ 854,MR TAN KUO CHEANG,MR YONG YIK YEN BENJAMIN,MDM NURAZIAN BINTE BAJURI,na,na,na,na,Leading Hearts_ Leading Minds,To develop Xinmin students to their full potential_ to inculcate in them sound values_ as well as a mindset for excellence_ and to nurture them to be responsible and caring members of society.,Xinmin's rich heritage and tradition in providing positive learning experiences for students is continually realised through our environment of care and excellence.  Our Xinmin family strives to nurture students into well-rounded persons who possess sound personal and moral values_ and the dispositions and competencies to lead hearts and minds. Our students are passionate about serving their school and the community_ as much as they thrive in sports_ the arts and their academic studies.  They are supported in their learning by our capable and dedicated staff who demonstrate the highest level of professionalism and care when they design and engage our students through a range of meaningful learning experiences in and beyond the classrooms. Our school community is also strongly supported by our committed alumni_ School Advisory Committee and parents who work collaboratively towards the common goal of providing a holistic and enriching school experience for our students.  Equipped with facilities that are continually upgraded and programmes that stretch our students' social-moral_ cognitive_ physical_ and aesthetics domains of development_ Xinmin offers our students a stimulating environment characterised by care_ discipline and excellence.,HOUGANG,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,In Xinmin_ we are committed to preparing our students well for further learning and the future world of work by developing them into leaders of hearts and leaders of minds. We develop 21st Century Competencies (21CCC) in our students through our thoughtfully designed curriculum and a tiered approach to provide students with a range of learning experiences that would cater to their different interests and readiness levels. Some of our key school-based curriculum include (i) Coding@Xinmin_ in which we develop computational thinking in our students through coding; (ii) our lower secondary Drama programme_ through which we build our students' self-confidence_ ability to empathise and understanding of the human condition; (iii) a challenging and enjoyable PE programme that helps our students develop both the skills and dispositions that allow them to lead a healthy active lifestyle; and (iv) our Student Leadership Development Programme that provides authentic learning opportunities to groom our students as leaders who will go on to make a difference to the school and their community. These key programmes are embedded within an enriching learning environment that incorporates a games-based approach to develop core 21CC like critical and inventive thinking; harnesses the affordance of technology to enhance students' learning_ develop them as responsible online citizens_ and as collaborative and self-directed learners (e.g._ through our signature Flipped Classroom Pedagogy); and emphasises application of knowledge in real life.,-1,235
YIO CHU KANG SECONDARY SCHOOL,http://www.yiochukangsec.moe.edu.sg,3063 ANG MO KIO AVENUE 5,569868,64560669,na,65522927,na,yckss@moe.edu.sg,YIO CHU KANG MRT,13_ 45_ 86_ 138_ 162_ 269_ 851_ 852_ 853,MRS LIM CAROL,MISS S G SARAH ABDULLAH,MR LIM HOCK CHYE KEVIN,MR DALBIR SINGH S/O SURAT SINGH,na,na,na,A Community of Learners_ Leaders and Innovators,To nurture students of character who thrive through love of learning and a willingness to grow and lead in meaningful service to self and others.,The school believes that every member of the school community must strive to be a competent learner_ a confident leader and a caring innovator in order to be future-ready. The school's GROWTH Values of Gratitude_ Respect_ Optimism_ Wholeheartedness_ Teamwork and Honesty form the foundation for the development of character and leadership. The school programmes are designed to ensure that students are developed holistically_ and help each one to live out the school motto_ 'Pursuit of Knowledge_ Service to All'.,ANG MO KIO,NORTH,NORTH 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,The school's Learning for Life Programme (LLP) aims to grow strong character and leadership through Arts_ Media and Design. The programme features the YCK Arts Foundation classes that provide a wide range of opportunities for creative expression in Modern Dance_ Drama_ Music (Rock & Pop)_ as well as Short Film Production and Interior Design. Through the design of these activities_ students develop confidence_ nurture a deeper appreciation of the arts and acquire important collaborative and people skills to lead self and others. Beyond the performing arts_ the LLP also has talent development programmes to take the students deeper into creative areas related to technology such as animation. The school offers an Applied Learning Programme (ALP) to nurture inquiring minds and inventive thinkers through technology. In this programme_ students are introduced to the world of STEM in the form of Embedded Electronics_ learning to develop innovative ideas and integrated solutions for real-life problems in the community. The ALP gives students opportunities to explore the connections between problem-solving skills needed in the real world and academic knowledge related to Science_ Technology_ Engineering and Mathematics (STEM). Importantly_ the ALP encourages students to stay curious and learn about how technology can be applied in new ways to improve the quality of life around us.,-1,188
YISHUN INNOVA JUNIOR COLLEGE,http://www.yijc.moe.edu.sg/,3 YISHUN RING ROAD,768675,62579873,na,62574373,na,yijc@moe.edu.sg,Yishun_ Khatib,800_ 812_ 167_ 169_ 171_ 980,MR MICHAEL DE SILVA,na,na,na,na,na,na,na,na,na,YISHUN,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,Digital Literacies Programme_ Student Leadership Development Programme_ Humanities Experience_ Science Programme_ Talent Development Programme_ Internationalisation Programme,19,-1
YISHUN TOWN SECONDARY SCHOOL,http://www.yishuntownsec.moe.edu.sg,6 YISHUN STREET 21,768610,67587219,na,67559112,na,YTSS@MOE.EDU.SG,YISHUN MRT,39_ 85_ 171_ 800_ 803_ 804_ 806_ 811_ 812_ 851_ 852_ 853_ 853C_ 854_ 854E_ 855_ 856_ 857_ 859_ 860,MDM SHARON YEO EU-LIN,MR OW WENG KEONG,MR LOONG CHIEH YUNG (LONG JIRONG),MR CHEW CHEE YONG,na,na,na,A School of Distinction. A Community of Leaders.,Nurturing Confident Leaders_ Active Citizens and Global Thinkers - YTzens for the Future,YTSS is guided by its vision_ 'A School of Distinction_ A Community of Leaders'_ and is committed to developing every YTzen to be a Confident Leader_ Active Citizen and a Global Thinker. It holds firmly to the belief that every student can and wants to learn_ and this translates into a commitment to unlock the potential of every child. The school also places a strong emphasis on cultivating self-discipline and imbuing the core values of Integrity_ Respect_ Resilience and Gratitude in our students. This student-centric approach in educating our students can also be seen in our curriculum. It is designed and implemented by our caring and professional team of teachers who embrace the core belief of 'leave no child behind'. The curriculum is crafted with the learners in mind and seeks to deepen our students' understanding of the various disciplines_ making learning engaging and meaningful for them. Working closely with supportive parents and alumni_ as well as the community and other partners in education_ there is a strong community of support in YTSS to create a nurturing environment and provide the best learning experience for all YTzens. The school motto_ 'We will Excel' is the guiding beacon for all YTzens and it permeates the school culture. The various awards and accolades the school is accorded and has achieved are testimonies of our steadfast commitment to excellence.,YISHUN,NORTH,NORTH 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,Yes,No,No,Chinese,Malay,Tamil,Students participate in programmes aligned to the YTzen profile that are designed for their holistic development. These programmes teach character education while challenging our students cognitively and physically. Confident Leader: All students participate in the NYAA (Silver) Programme_ learning different skill sets and nurturing attributes that ensure holistic development. They also undergo leadership training through the Student Leadership Development Programmes that involve level camps_ expeditions and service learning projects. Selected Student Leaders have the opportunities to take part in the Aspiring and Empowering Leaders Programmes to further develop their leadership competencies. NA and NT students develop life skills and vocational skills in the MY LIFE Programme. Active Citizens: Social-emotional competencies are taught through Process Drama and Values@Heart lessons. Classes also plan and carry out Service Learning projects and reflect on our nation's history as they participate in Heritage Trails designed by our teachers. Global Thinkers: The YTSS Cross-Cultural Learning Programmes expand our students' global outlook while developing their intercultural competencies through local and overseas exchange programmes and learning journey. The STAR Programmes also challenges our students cognitively through interesting research projects in collaboration with Institutes of Higher Learning_ both local and overseas.,-1,239
